name,state,description,latitude,longitude
Alabama,AL,Montgomery,32.377716,-86.300568
Alaska,AK,Juneau,58.301598,-134.420212
Arizona,AZ,Phoenix,33.448143,-112.096962
Arkansas,AR,Little Rock,34.746613,-92.288986
California,CA,Sacramento,38.576668,-121.493629
Colorado,CO,Denver,39.739227,-104.984856
Connecticut,CT,Hartford<br>,41.764046,-72.682198
Delaware,DE,Dover,39.157307,-75.519722
Florida,FL,Tallahassee,30.438118,-84.281296
Georgia,GA,Atlanta<br>,33.749027,-84.388229
Hawaii,HI,Honolulu,21.307442,-157.857376
Idaho,ID,Boise,43.617775,-116.199722
Illinois,IL,Springfield,39.798363,-89.654961
Indiana,IN,Indianapolis,39.768623,-86.162643
Iowa,IA,Des Moines,41.591087,-93.603729
Kansas,KS,Topeka,39.048191,-95.677956
Kentucky,KY,Frankfort,38.186722,-84.875374
Louisiana,LA,Baton Rouge,30.457069,-91.187393
Maine,ME,Augusta,44.307167,-69.781693
Maryland,MD,Annapolis,38.978764,-76.490936
Massachusetts,MA,Boston,42.358162,-71.063698
Michigan,MI,Lansing,42.733635,-84.555328
Minnesota,MN,St. Paul,44.955097,-93.102211
Mississippi,MS,Jackson,32.303848,-90.182106
Missouri,MO,Jefferson City,38.579201,-92.172935
Montana,MT,Helena,46.585709,-112.018417
Nebraska,NE,Lincoln,40.808075,-96.699654
Nevada,NV,Carson City,39.163914,-119.766121
New Hampshire,NH,Concord,43.206898,-71.537994
New Jersey,NJ,Trenton,40.220596,-74.769913
New Mexico,NM,Santa Fe,35.68224,-105.939728
New York,NY,Albany,42.652843,-73.757874
North Carolina,NC,Raleigh,35.78043,-78.639099
North Dakota,ND,Bismarck,46.82085,-100.783318
Ohio,OH,Columbus,39.961346,-82.999069
Oklahoma,OK,Oklahoma City,35.492207,-97.503342
Oregon,OR,Salem,44.938461,-123.030403
Pennsylvania,PA,Harrisburg,40.264378,-76.883598
Rhode Island,RI,Providence,41.830914,-71.414963
South Carolina,SC,Columbia,34.000343,-81.033211
South Dakota,SD,Pierre,44.367031,-100.346405
Tennessee,TN,Nashville,36.16581,-86.784241
Texas,TX,Austin,30.27467,-97.740349
Utah,UT,Salt Lake City,40.777477,-111.888237
Vermont,VT,Montpelier,44.262436,-72.580536
Virginia,VA,Richmond,37.538857,-77.43364
Washington,WA,Olympia,47.035805,-122.905014
West Virginia,WV,Charleston,38.336246,-81.612328
Wisconsin,WI,Madison,43.074684,-89.384445
Wyoming,WY,Cheyenne,41.140259,-104.820236